species,identifier,higher_taxon,common_name,highest_common_name
Dyseriocrania subpurpurella,BA17A688A33ADC8C82C1F038A816FB4E8E7E978BB8FFD3CAA56BF6A5B6BA08CD,Eriocranioidea,Sparkling archaic sun moths,moths
Dyseriocrania subpurpurella,C7FC2D8DE0986A4AC0CB8D3BC3D5A6FC3168D9DC3196D3B4D4B3DCC2887F5437,Eriocranioidea,Sparkling archaic sun moths,moths
Dyseriocrania subpurpurella,F5C4F79EDEEE0648F54FAE02CBF40C628F1A79F79A3D2CCED299F61133547C08,Eriocranioidea,Sparkling archaic sun moths,moths
Eacles sp,IMG_7873%2B1258561388,Bombycoidea,Sphynx/Silk moths,moths
Ectropis obliqua,SDNU-INS-01286%2B1600121970,Geometroidea,Geometrid moths,moths
Emmelina monodactyla,119f21c4-c2ad-4189-9f54-55ff96e86fe5_image,Pterophoroidea,Plume moths,moths
Emmelina monodactyla,37b33d47-6a18-42fb-99f7-a03bfc743fd2_image,Pterophoroidea,Plume moths,moths
Emmelina monodactyla,54abba0d-5b88-4380-9415-b19035fb0952_image,Pterophoroidea,Plume moths,moths
Emmelina monodactyla,5726CFDB52BF98C5D05E36381BD59E3AE8E52830B1752DDB838E2D56BBA990B7,Pterophoroidea,Plume moths,moths
Emmelina monodactyla,6c551d86-9517-48c2-80d3-ceaa4cfba7bc_image,Pterophoroidea,Plume moths,moths
Emmelina monodactyla,92B4C55075004BE60083FE1754C7DF202A029949039DA591BE5544299E9076CB,Pterophoroidea,Plume moths,moths
Emmelina monodactyla,941324F5696F564C4A8052DFF80B14191C858B4CC34FF2D201451DA17867846E,Pterophoroidea,Plume moths,moths
Emmelina monodactyla,A713EFE6DED1F50E476F3202E5751A9C5ED0463188C89F247A752296AF65B2E7,Pterophoroidea,Plume moths,moths
Emmelina monodactyla,B66F327774188FB239C37EC44E0A322B860BDB3FC942207A70C04D2627EB407E,Pterophoroidea,Plume moths,moths
Emmelina monodactyla,SDNHM153798,Pterophoroidea,Plume moths,moths
Emmelina monodactyla,SDNHM153875,Pterophoroidea,Plume moths,moths
Emmelina monodactyla,SDNHM153877,Pterophoroidea,Plume moths,moths
Enteucha acetosae,G01.IO0358%2B1449242314,Nepticuloidea,Pygmy leafminer moths,moths
Enyo lugubris,IMG_019229,Bombycoidea,Sphynx/Silk moths,moths
Enyo lugubris,IMG_019230,Bombycoidea,Sphynx/Silk moths,moths
Enyo lugubris,IMG_019236,Bombycoidea,Sphynx/Silk moths,moths
Enyo lugubris,IMG_019238,Bombycoidea,Sphynx/Silk moths,moths
Enyo lugubris,SDNHM129426,Bombycoidea,Sphynx/Silk moths,moths
Enyo lugubris,SDNHM129427,Bombycoidea,Sphynx/Silk moths,moths
Enyo lugubris,SDNHM129431,Bombycoidea,Sphynx/Silk moths,moths
Enyo lugubris,SDNHM129436,Bombycoidea,Sphynx/Silk moths,moths
Enyo lugubris,SDNHM129437,Bombycoidea,Sphynx/Silk moths,moths
Enyo lugubris,SDNHM129438,Bombycoidea,Sphynx/Silk moths,moths
Enyo lugubris,SDNHM129455,Bombycoidea,Sphynx/Silk moths,moths
Enyo lugubris,SDNHM129470,Bombycoidea,Sphynx/Silk moths,moths
Epicopeia hainseii,D17%2B1509574110,Geometroidea,Geometrid moths,moths
Eudarcia simulatricella,USNMENT00656563%2B1296840546,Tineoidea,Clothes moths,moths
Eudocima salaminia,20614646294_9c107c6afe,Noctuoidea,Owlet moths,moths
Eudocima salaminia,22922476872_f51994a843,Noctuoidea,Owlet moths,moths
Eudocima salaminia,22935895785_d0e56563b2,Noctuoidea,Owlet moths,moths
Eudocima salaminia,24159221714_2f4fe4980c,Noctuoidea,Owlet moths,moths
Eudocima salaminia,24433071873_abcf961302,Noctuoidea,Owlet moths,moths
Eudocima salaminia,26288031172_ceaaa78546,Noctuoidea,Owlet moths,moths
Eudocima salaminia,27970198435_0ff4f039dd,Noctuoidea,Owlet moths,moths
Eudocima salaminia,27999114091_89678d23b6,Noctuoidea,Owlet moths,moths
Eudocima salaminia,29897462036_0967c034ed,Noctuoidea,Owlet moths,moths
Eudocima salaminia,31686777398_b0a159d8c1,Noctuoidea,Owlet moths,moths
Eudocima salaminia,33068094318_67a45884f7,Noctuoidea,Owlet moths,moths
Eudocima salaminia,34489239770_31b172eb31,Noctuoidea,Owlet moths,moths
Eudocima salaminia,IMG_005333,Noctuoidea,Owlet moths,moths
Eudocima salaminia,IMG_005336,Noctuoidea,Owlet moths,moths
Eudocima salaminia,IMG_005337,Noctuoidea,Owlet moths,moths
Eudocima salaminia,IMG_005338,Noctuoidea,Owlet moths,moths
Euproctis chrysorrhoea,055-10-Euproctis_chrysorrhoea_(5260&5261),Noctuoidea,Owlet moths,moths
Euproctis chrysorrhoea,581781E60B7CBAD69F6580303D540F5F82BD61A141555FF4ED3B7EBB740714CC,Noctuoidea,Owlet moths,moths
Euproctis chrysorrhoea,A2F0E0D4802535C62D921B7C225530C13983299F4B4A0AECEF0724E69D59412D,Noctuoidea,Owlet moths,moths
Euproctis chrysorrhoea,C7E94AD8EF721B3DCB0615DBF19B1607E62ADC46DA7F6AE045AF7B743082C349,Noctuoidea,Owlet moths,moths
Euproctis chrysorrhoea,IMG_019027,Noctuoidea,Owlet moths,moths
Euproctis chrysorrhoea,IMG_019036,Noctuoidea,Owlet moths,moths
Euproctis chrysorrhoea,IMG_019037,Noctuoidea,Owlet moths,moths
Euproctis chrysorrhoea,IMG_019038,Noctuoidea,Owlet moths,moths
Eupterote muluana,SNB_3061%2B1314540344,Bombycoidea,Sphynx/Silk moths,moths
Galleria melonella,BIOUG12229-A11%2B1402061280,Pyraloidea,Snout moths,moths
Ganisa similis,SNB_2503%2B1300023362,Bombycoidea,Sphynx/Silk moths,moths
Givira mucida,1920px-Givira_mucidus_ASUHIC0080548,Cossoidea,Carpenter moths,moths
Grapholita dimorpha,CNCLEP00147015%2B1473448665,Tortricoidea,Tortrix moths,moths
Harmaclona sp,CCDB-33979-D05%2B1588945056,Tineoidea,Clothes moths,moths
Hebomoia glaucippe,576357?rendering=original,Papilionoidea,Papilionoid butterflies,butterflies
Hebomoia glaucippe,576361?rendering=original,Papilionoidea,Papilionoid butterflies,butterflies
Hebomoia glaucippe,a6f4cef6-2a11-4e1c-862c-a2476b853e2a,Papilionoidea,Papilionoid butterflies,butterflies
Hebomoia glaucippe,IMG_086222,Papilionoidea,Papilionoid butterflies,butterflies
Heliconius melpomene,CAM000063_d,Papilionoidea,Papilionoid butterflies,butterflies
Heliconius melpomene,CAM000132_d,Papilionoidea,Papilionoid butterflies,butterflies
Heliconius melpomene,CAM000501_d,Papilionoidea,Papilionoid butterflies,butterflies
Heliconius melpomene,CAM008689_v,Papilionoidea,Papilionoid butterflies,butterflies
Heliconius melpomene,CAM008702_d,Papilionoidea,Papilionoid butterflies,butterflies
Heliconius melpomene,CAM040535_d,Papilionoidea,Papilionoid butterflies,butterflies
Heliconius melpomene,CAM040536_v,Papilionoidea,Papilionoid butterflies,butterflies
Heliconius melpomene,CAM040565_v,Papilionoidea,Papilionoid butterflies,butterflies
Heliconius melpomene,CAM040682_d,Papilionoidea,Papilionoid butterflies,butterflies
Heliconius melpomene,CAM041091_v,Papilionoidea,Papilionoid butterflies,butterflies
Helicopsyche borealis,ccdb-02858-007%2B1244222602,Trichoptera,Caddisflies caddisflies,caddisflies
Helicopsyche borealis,DRCAD09-7%2B1237991662,Trichoptera,Caddisflies caddisflies,caddisflies
Helicoverpa zea,ASUHIC0073178_habitus_dorsal_1587407280_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,ASUHIC0073179_habitus_dorsal_1587407341_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,CSU_ENT1148166_1-2_1607027854_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,CSU_ENT1165235_1-2_1620997054_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,CSU_ENT1165252_1-2_1620997028_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,CSU_ENT1165350_1-2_1620996901_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,CSU_ENT1165355_1-2_1620996871_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,CSU_ENT1165364_1-2_1620995982_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,da4751b35937fb359fc1454257376ca6?size=fullsize,Noctuoidea,Owlet moths,moths
Helicoverpa zea,IMG_019092,Noctuoidea,Owlet moths,moths
Helicoverpa zea,Md4gdmTFnnxXfFkNMeSRMNyE7HZvh51010G8l6rG,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UDCC_TCN_00117379_2_1517929803_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2013.33806_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2013.33808_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2013.33814_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2013.33817_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2013.33818_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2013.33827_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2013.33829_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2013.33837_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2013.33838_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2013.33842_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2013.33844_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2013.33846_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2013.33853_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2013.33854_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2015.13224_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2015.13225_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2015.13226_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2015.13230_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2015.13231_lg,Noctuoidea,Owlet moths,moths
Helicoverpa zea,UHIM2015.13232_lg,Noctuoidea,Owlet moths,moths
Heliothis virescens,LEPANT20[129]+1609424736,Noctuoidea,Owlet moths,moths
Hemaris diffinis,CSU_ENT0056058_1-3_1569522574_lg,Bombycoidea,Sphynx/Silk moths,moths
Hemaris diffinis,CSU_ENT1003592_1-3_1569523025_lg,Bombycoidea,Sphynx/Silk moths,moths
Hemaris diffinis,IMG_019191,Bombycoidea,Sphynx/Silk moths,moths
Hemaris diffinis,SDNHM129810,Bombycoidea,Sphynx/Silk moths,moths
Hemaris diffinis,SDNHM129854,Bombycoidea,Sphynx/Silk moths,moths
Hemaris diffinis,SDNHM129965,Bombycoidea,Sphynx/Silk moths,moths
Hemaris diffinis,SDNHM130032,Bombycoidea,Sphynx/Silk moths,moths
Hemaris diffinis,SDNHM130592,Bombycoidea,Sphynx/Silk moths,moths
Hemaris diffinis,SDNHM130649,Bombycoidea,Sphynx/Silk moths,moths
Hemaris diffinis,SDNHM130653,Bombycoidea,Sphynx/Silk moths,moths
Hemerophila diva,CCDB-19579-G01%2B1352839720,Choreutoidea,Metalmark moths,moths
Hemerophila diva,CCDB-19579-G02%2B1352839756,Choreutoidea,Metalmark moths,moths
Hemerophila diva,CCDB-30828-A05%2B1540217220,Choreutoidea,Metalmark moths,moths
Hemerophila diva,CNCLEP00098704%2B1366210560,Choreutoidea,Metalmark moths,moths
Hemerophila diva,CNCLEP00224885%2B1572580080,Choreutoidea,Metalmark moths,moths
Hemiargus ceraunus,IMG_152199,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205614,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205631,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205653,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205666,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205681,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205683,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205697,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205710,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205730,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205759,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205827,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205838,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205890,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205907,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205925,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,SDNHM205988,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,VTEC000000782_1485987385_lg,Papilionoidea,Papilionoid butterflies,butterflies
Hemiargus ceraunus,VTEC000000783_1485987412_lg,Papilionoidea,Papilionoid butterflies,butterflies
Hemileuca maia,ca062cc505104b9cb877cb4743149a33?size=fullsize,Bombycoidea,Sphynx/Silk moths,moths
Hemileuca maia,Hemileuca maia_default,Bombycoidea,Sphynx/Silk moths,moths
Hemileuca maia,sp66685258212520319988.att,Bombycoidea,Sphynx/Silk moths,moths
Hemileuca maia,UDCC_TCN_00062157_1487019386_lg,Bombycoidea,Sphynx/Silk moths,moths
Hemileuca maia,UDCC_TCN_00062159_1487020633_lg,Bombycoidea,Sphynx/Silk moths,moths
Hemileuca maia,UKIC_0020644_1634495195_lg,Bombycoidea,Sphynx/Silk moths,moths
Hemileuca maia,UKIC_0020648_1634493385_lg,Bombycoidea,Sphynx/Silk moths,moths
Hemileuca maia,UKIC_0020691_1634561264_lg,Bombycoidea,Sphynx/Silk moths,moths
Hemileuca maia,UKIC_0020749_1634493889_lg,Bombycoidea,Sphynx/Silk moths,moths
Hemileuca maia,UKIC_0020759_1634560794_lg,Bombycoidea,Sphynx/Silk moths,moths
Hemileuca maia,UKIC_0020799_1634494398_lg,Bombycoidea,Sphynx/Silk moths,moths
Hemileuca maia,UKIC_0020824_1634493220_lg,Bombycoidea,Sphynx/Silk moths,moths
Hemileuca maia,UKIC_0020856_1634493706_lg,Bombycoidea,Sphynx/Silk moths,moths
Hemileuca maia,UKIC_0020873_1634490629_lg,Bombycoidea,Sphynx/Silk moths,moths
Hemileuca maia,UKIC_0020879_1634561026_lg,Bombycoidea,Sphynx/Silk moths,moths
Heterobathmia sp,hpseuderiocrania,Heterobathmioidea,Valdivian archaic moths,moths
Hylephila phyleus,20283151dece0fc141385cb9017c3091?size=fullsize,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,2439bc13184ee2b054949a6b8a5c38fc?size=fullsize,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,3f0e9e2e3499e6ae65f987c2835e47e2?size=fullsize,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,a181245ce334574e76fde2e84c05fcb1?size=fullsize,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,CSU_ENT1022473_ventral_1_3_1500042139_lg,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,CSU_ENT1022490_ventral_1_3_1500041854_lg,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_090127,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_090130,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_090142,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_090147,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_090150,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_090166,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_090169,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_090198,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_158413,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_164914,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_164920,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_164921,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_165056,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_165087,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_165090,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,IMG_165094,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,SDNHM141567,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,SDNHM141590,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,SDNHM141592,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,SDNHM141604,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,SDNHM141643,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,SDNHM141646,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,SDNHM141650,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,UHIM2013.07912_lg,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,UHIM2013.07917_lg,Papilionoidea,Papilionoid butterflies,butterflies
Hylephila phyleus,UHIM2013.07923_lg,Papilionoidea,Papilionoid butterflies,butterflies
Hyles euphorbiae,045-02-Hyles_euphorbiae_(4228),Bombycoidea,Sphynx/Silk moths,moths
Hyles euphorbiae,07CA950EAD315A6C273306CA288831BE9A934545635A90CDB17FED40C2CAA196,Bombycoidea,Sphynx/Silk moths,moths
Hyles euphorbiae,83cb6bd9-4f05-4c0e-a6b0-503335d1a4d8,Bombycoidea,Sphynx/Silk moths,moths
Hyles euphorbiae,8AFAD36C763B5AF1DC1AA68CA449FD753E9877672FBC89DE9730607AF4AD6593,Bombycoidea,Sphynx/Silk moths,moths
Hyles euphorbiae,8fb0ab09-58b9-4561-a983-0fd8f0003d25,Bombycoidea,Sphynx/Silk moths,moths
Hyles euphorbiae,9D218DA91DACE7AC315000F1FB12BDCACC9FEBEBBFCBB7BD5AA912A6E82E2588,Bombycoidea,Sphynx/Silk moths,moths
Hyles euphorbiae,A2E8143C7EA0E8C7FE1411882142E295E437607979C1A49B72054FF69DE04014,Bombycoidea,Sphynx/Silk moths,moths
Hyles euphorbiae,aa17a8b1-b61c-4e33-b0e9-73b9a22ec0b0,Bombycoidea,Sphynx/Silk moths,moths
Hyles euphorbiae,b121310f-f9b4-4f29-833a-79151ba3b9c7,Bombycoidea,Sphynx/Silk moths,moths
Hyles euphorbiae,ba24d4bf-c3ce-4600-b809-24fbc80b5d1d,Bombycoidea,Sphynx/Silk moths,moths
Hyles euphorbiae,BD2FE3FA8973D06689A7E763C0353F988958AE05303CB55523784462D87D5D4B,Bombycoidea,Sphynx/Silk moths,moths
Hyles euphorbiae,CSU_ENT1146633_1-3_1617200380_lg,Bombycoidea,Sphynx/Silk moths,moths
Hyles euphorbiae,CSU_ENT1152575_1-3_1600347676_lg,Bombycoidea,Sphynx/Silk moths,moths
Hyles euphorbiae,Hyles euphorbiae_Preview001,Bombycoidea,Sphynx/Silk moths,moths
Hyposmocoma kahamanoa,Hyposmocoma_tantala,Gelechioidea,Curved-horn moths,moths
Idaea sp,BC_ZSM_Lep_63557%2B1331892226,Geometroidea,Geometrid moths,moths
Imma tetrascia,10ANIC-02007%2B1286933156,Immoidea,Pantropical moths,moths
Junonia coenia,SDNHM222391,Papilionoidea,Papilionoid butterflies,butterflies
Junonia coenia,ypm:03dbc1ed-b8f6-4543-9945-4ae08f5ccd33,Papilionoidea,Papilionoid butterflies,butterflies
Junonia coenia,ypm:10e69545-f6cf-4319-8414-62440ed074ae,Papilionoidea,Papilionoid butterflies,butterflies
Junonia coenia,ypm:3ed5d941-f102-490f-90ed-d3244a97da65,Papilionoidea,Papilionoid butterflies,butterflies
Junonia coenia,ypm:81ecd12f-9fb1-4930-826b-10fed620d311,Papilionoidea,Papilionoid butterflies,butterflies
Junonia coenia,ypm:9c53e019-d3dd-4c2c-ad6c-46c75cc6c0d3,Papilionoidea,Papilionoid butterflies,butterflies
Junonia coenia,ypm:f98149d2-a25a-49a1-82b7-5b5a1e0b6057,Papilionoidea,Papilionoid butterflies,butterflies
Lacosoma chiridota,2f2d368e15f99fa057bf0d463ef452ab?size=fullsize,Mimallonoidea,Sack-bearer moths,moths
Lacosoma chiridota,IMG_011576,Mimallonoidea,Sack-bearer moths,moths
Lacosoma chiridota,ypm:02a26977-f7b6-449c-97c8-8ff9d600ef63,Mimallonoidea,Sack-bearer moths,moths
Lacosoma chiridota,ypm:12a5e3c3-a89e-440b-9681-934b03d1a28f,Mimallonoidea,Sack-bearer moths,moths
Lacosoma chiridota,ypm:1d080078-b83a-4498-9801-80ce4f872d2d,Mimallonoidea,Sack-bearer moths,moths
Lacosoma chiridota,ypm:3142d3d4-4d64-4447-af11-22fe8c912dc8,Mimallonoidea,Sack-bearer moths,moths
Lacosoma chiridota,ypm:3831df39-70e2-4c69-9473-19bcddba4d4b,Mimallonoidea,Sack-bearer moths,moths
Lacosoma chiridota,ypm:491d7011-c81a-40ce-a188-99509cb7129e,Mimallonoidea,Sack-bearer moths,moths
Lacosoma chiridota,ypm:5d4961f2-e7b8-45e4-b79c-47348538d36f,Mimallonoidea,Sack-bearer moths,moths
Lacosoma chiridota,ypm:97a73397-b1ca-4929-8c7e-5c8225f47635,Mimallonoidea,Sack-bearer moths,moths
Lacosoma chiridota,ypm:dc87c8a7-778c-4ff2-b82f-b9138c42d78e,Mimallonoidea,Sack-bearer moths,moths
Lacosoma chiridota,ypm:e69bde4e-9faa-4167-bc58-415989ca1b2d,Mimallonoidea,Sack-bearer moths,moths
Lacosoma chiridota,ypm:fb670a88-9b59-44d9-9311-daa739f3a06f,Mimallonoidea,Sack-bearer moths,moths
Lactura subfervens,2d6e8912-15e5-40e6-abdb-958eafcfdd23,Zygaenoidea,Burnet moths,moths
Lactura subfervens,ASUHIC0080478_habitus_dorsal_1450755630,Zygaenoidea,Burnet moths,moths
Lactura subfervens,MEM312996_Lactura_subfervens_V_1539876956_lg,Zygaenoidea,Burnet moths,moths
Lactura subfervens,MEM49463_Lactura_subfervens_MT_1524074042_lg,Zygaenoidea,Burnet moths,moths
Lantanophaga pusillidactyla,10ANIC_03162%2B1287103228,Pterophoroidea,Plume moths,moths
Lerema accius,54f4422ee519024f254630abbed14875?size=fullsize,Papilionoidea,Papilionoid butterflies,butterflies
Lerema accius,61139ad1611d84fa7a56a5d8f1e88dd8?size=fullsize,Papilionoidea,Papilionoid butterflies,butterflies
Lerema accius,6575c23748390ecd0519cea93d6161bb,Papilionoidea,Papilionoid butterflies,butterflies
Lerema accius,753b58682e305cf636ac4d8f0c66002b,Papilionoidea,Papilionoid butterflies,butterflies
Lerema accius,d508a6fd3ae7565efa0f7b7b3cc91d6c?size=fullsize,Papilionoidea,Papilionoid butterflies,butterflies
Lerema accius,IMG_162619,Papilionoidea,Papilionoid butterflies,butterflies
Lerema accius,MEM375746_Lerema_accius_IWF_1545318504_lg,Papilionoidea,Papilionoid butterflies,butterflies
Lerema accius,ypm:15e5ae4b-32da-4f94-894e-ad1c4494704d,Papilionoidea,Papilionoid butterflies,butterflies
Lerema accius,ypm:7484b667-bc6c-4af1-a9a1-a4d39e72d441,Papilionoidea,Papilionoid butterflies,butterflies
Lerema accius,ypm:c963497c-e137-42bc-8981-6bbf3766778e,Papilionoidea,Papilionoid butterflies,butterflies
Lerema accius,ypm:cd1c37f0-1a00-4ac8-b6f5-dd1838eea31f,Papilionoidea,Papilionoid butterflies,butterflies
Leucoptera coffeella,CCDB30825-E02%2B1529933006,Yponomeutoidea,Ermine moths,moths
Lophocorona astipica,10ANIC_03421%2B1287071654,Lophocoronoidea,Australian archaic moths,moths
Luehdorfia chinensis,IMG_089411,Papilionoidea,Papilionoid butterflies,butterflies
Lymantria dispar,03acee65-e4b8-48c6-baef-70b4230db370,Noctuoidea,Owlet moths,moths
Lymantria dispar,0ACC7BDBD59CA0F16346AD4862319F97BDEE5FEDF34C5A7F48DF21E75A84223A,Noctuoidea,Owlet moths,moths
Lymantria dispar,17ecee3d-125d-41ee-8a81-8dcc145db10f,Noctuoidea,Owlet moths,moths
Lymantria dispar,3142a3ac-ba2c-43b5-9608-08d1783f7c10,Noctuoidea,Owlet moths,moths
Lymantria dispar,66f4914a-1d5c-48a4-8a72-851725d2be9e,Noctuoidea,Owlet moths,moths
Lymantria dispar,ADD3E4D7340EA25297CB95373241FBCB7707E140B2403E95B1543720017FA846,Noctuoidea,Owlet moths,moths
Lymantria dispar,d6a542c8-0a7b-4913-bc72-7437bc25602b,Noctuoidea,Owlet moths,moths
Lymantria dispar,d95e8cfb-5d15-4752-a28e-0ddabc4adc7c,Noctuoidea,Owlet moths,moths
Lymantria dispar,f3d9e294-281b-4bd4-a021-ef8f4cd20aa0,Noctuoidea,Owlet moths,moths
Lymantria dispar,Lymantria dispar_Preview001,Noctuoidea,Owlet moths,moths
Lyssa zampa,MCZ-ENT00733345_Lyssa_zampa_had,Geometroidea,Geometrid moths,moths
Lyssa zampa,RMNH.INS.1295753%2B1649969364,Geometroidea,Geometrid moths,moths
Macaria distribuaria,6ebf0553a56e4f297b0a632f226e9fb0?size=fullsize,Geometroidea,Geometrid moths,moths
Macaria distribuaria,f6abd1be30f59ad515d7201ac205872a?size=fullsize,Geometroidea,Geometrid moths,moths
Macaria distribuaria,IMG_019284,Geometroidea,Geometrid moths,moths
Macaria distribuaria,IMG_019290,Geometroidea,Geometrid moths,moths
Macrauzata submontana,BC_ZSM_Lep_45445%2B1317742140,Drepanoidea,Hook-tip moths,moths
Macroglossum pyrrhosticta,UHIM2013.08581_lg,Bombycoidea,Sphynx/Silk moths,moths
Macroglossum pyrrhosticta,UHIM2013.08582_lg,Bombycoidea,Sphynx/Silk moths,moths
Macroglossum pyrrhosticta,UHIM2013.08583_lg,Bombycoidea,Sphynx/Silk moths,moths
Macroglossum pyrrhosticta,UHIM2013.08584_lg,Bombycoidea,Sphynx/Silk moths,moths
Macrosoma sp,04-SRNP-2010-DHJ331720%2B1145363716,Papilionoidea,Papilionoid butterflies,butterflies
Macrosoma sp,04-SRNP-2010-DHJ331720%2B1145363716,Papilionoidea,Papilionoid butterflies,butterflies
Manduca sexta,7ad88f61ebf83cb57ab6caffed34b4ac?size=fullsize,Bombycoidea,Sphynx/Silk moths,moths
Manduca sexta,CSU_ENT0053086_1-3_1565654454_lg,Bombycoidea,Sphynx/Silk moths,moths
Manduca sexta,CSU_ENT0053088_1-5_1565806368_lg,Bombycoidea,Sphynx/Silk moths,moths
Manduca sexta,SDNHM122445,Bombycoidea,Sphynx/Silk moths,moths
Manduca sexta,SDNHM122479,Bombycoidea,Sphynx/Silk moths,moths
Manduca sexta,SDNHM122527,Bombycoidea,Sphynx/Silk moths,moths
Manduca sexta,SDNHM124489,Bombycoidea,Sphynx/Silk moths,moths
Manduca sexta,SDNHM124505,Bombycoidea,Sphynx/Silk moths,moths
Manduca sexta,SDNHM124509,Bombycoidea,Sphynx/Silk moths,moths
Manduca sexta,SDNHM220747,Bombycoidea,Sphynx/Silk moths,moths
